Mean data for UKR  Province= 12: Kiev City,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.124,262.28, 31.41, 57.27, 44.34
2013 02  0.123,262.50, 30.24, 59.52, 44.88
2013 03  0.119,262.39, 28.60, 64.60, 46.60
2013 04  0.116,262.47, 29.73, 69.02, 49.37
2013 05  0.117,262.73, 30.68, 69.83, 50.28
2013 06  0.120,263.14, 30.46, 67.82, 49.25
2013 07  0.126,263.72, 31.13, 65.64, 48.51
2013 08  0.132,264.38, 31.58, 65.73, 48.65
2013 09  0.138,265.38, 31.86, 66.49, 49.18
2013 10  0.146,266.47, 31.09, 70.76, 50.93
2013 11  0.154,267.69, 31.14, 75.30, 53.22
2013 12  0.165,269.50, 32.23, 78.42, 55.32
2013 13  0.182,272.12, 34.52, 79.79, 57.15
2013 14  0.208,275.81, 39.13, 76.91, 58.02
2013 15  0.247,281.18, 46.96, 66.16, 56.56
2013 16  0.296,286.06, 55.85, 48.23, 52.04
2013 17  0.351,289.90, 65.19, 33.82, 49.51
2013 18  0.405,292.37, 71.07, 29.76, 50.42
2013 19  0.446,293.86, 72.00, 26.55, 49.27
2013 20  0.478,294.90, 70.29, 27.22, 48.75
2013 21  0.502,295.84, 69.89, 26.80, 48.35
2013 22  0.520,296.61, 68.63, 25.10, 46.86
2013 23  0.532,297.03, 69.01, 26.04, 47.52
2013 24  0.539,297.37, 69.93, 25.71, 47.82
2013 25  0.541,297.66, 68.56, 25.06, 46.81
2013 26  0.538,297.72, 65.65, 24.13, 44.89
2013 27  0.535,297.58, 62.77, 27.15, 44.96
2013 28  0.528,297.35, 61.82, 31.54, 46.68
2013 29  0.524,297.36, 62.90, 34.13, 48.51
2013 30  0.522,297.60, 65.69, 33.57, 49.63
2013 31  0.516,297.33, 65.25, 33.18, 49.21
2013 32  0.506,296.69, 62.83, 33.47, 48.15
2013 33  0.496,295.64, 59.86, 34.94, 47.40
2013 34  0.483,294.24, 58.71, 40.35, 49.53
2013 35  0.464,292.20, 56.77, 49.79, 53.28
2013 36  0.444,290.20, 54.48, 57.06, 55.77
2013 37  0.424,288.47, 54.16, 61.66, 57.91
2013 38  0.407,286.67, 54.78, 68.03, 61.40
2013 39  0.387,285.19, 54.36, 68.14, 61.25
2013 40  0.365,283.94, 52.97, 74.69, 63.83
2013 41  0.341,282.91, 49.12, 61.80, 55.46
2013 42  0.323,282.20, 48.56, 41.03, 44.80
2013 43  0.300,281.13, 46.09, 27.16, 36.62
2013 44  0.279,279.58, 45.14, 18.04, 31.59
2013 45  0.260,278.02, 47.19, 10.15, 28.67
2013 46  0.245,276.04, 52.98, 15.19, 34.09
2013 47  0.228,273.93, 56.20, 19.61, 37.90
2013 48  0.214,272.31, 57.10, 25.69, 41.40
2013 49  0.201,270.71, 54.87, 30.34, 42.60
2013 50  0.193,269.60, 54.20, 31.93, 43.07
2013 51  0.182,268.28, 51.49, 33.94, 42.71
2013 52  0.174,267.32, 50.65, 33.46, 42.05
